caseid,centre,bvisaL_cluster_connected_triangles,bvisaL_triangl_per_clust,bvisaL_srf_are_per_clust,bvisaL_total_srf_area,bvisaL_is_self_intersecting,bvisaL_is_watertight,bvisaL_is_edge_manifold,bvisaL_is_vertex_manifold,bvisaL_total_volume,bvisaL_holes_filled_volume,bvisaR_cluster_connected_triangles,bvisaR_triangl_per_clust,bvisaR_srf_are_per_clust,bvisaR_total_srf_area,bvisaR_is_self_intersecting,bvisaR_is_watertight,bvisaR_is_edge_manifold,bvisaR_is_vertex_manifold,bvisaR_total_volume,bvisaR_holes_filled_volume,LCS_lebel2inters,RCS_lebel2inters
sub-via156,CFIN,4556,[4556],[3414.47709962],3414.4770996239076,False,True,True,True,1234.481922010753,1234.4819220107574,4756,[4756],[3519.83179435],3519.8317943483385,False,True,True,True,1268.3475504365497,1268.3475504365497,"{3: 662, 24: 1083, 165: 75}","{24: 1184, 42: 576, 165: 134, 258: 17}"
sub-via153,CFIN,4054,[4054],[3067.82763767],3067.827637667248,False,True,True,True,1135.7386977830993,1135.738697783098,4010,[4010],[3039.17088294],3039.1708829392783,False,True,True,True,1132.0647587064577,1132.0647587064595,"{3: 505, 24: 1150}","{24: 1232, 42: 424}"
sub-via248,CFIN,4478,[4478],[3384.98437492],3384.98437491885,False,True,True,True,1172.8232036464387,1172.8232036464378,4664,[4664],[3469.29036246],3469.290362463282,False,True,True,True,1268.2898884825877,1268.2898884825872,"{3: 734, 24: 966, 165: 21}","{24: 1111, 42: 652, 165: 88}"
sub-via323,CFIN,4040,[4040],[3047.42700283],3047.427002830189,False,True,True,True,1119.3348207637864,1119.3348207637837,3338,[3338],[2541.57543294],2541.575432943696,False,True,True,True,897.0349478168055,897.0349478168059,"{3: 460, 24: 1134, 165: 30}","{24: 1018, 42: 294, 165: 12}"
sub-via059,CFIN,4948,[4948],[3623.35967657],3623.359676571132,False,True,True,True,1312.6516921477632,1312.6516921477555,4640,[4640],[3536.99936932],3536.9993693217166,False,True,True,True,1272.3437615315934,1272.3437615315981,"{2: 1, 3: 978, 24: 785, 165: 123, 258: 47}","{24: 912, 42: 813, 165: 114, 258: 18}"
sub-via339,CFIN,4408,[4408],[3317.53002824],3317.5300282358976,False,True,True,True,1176.062006787104,1176.062006787105,3880,[3880],[2897.72861871],2897.7286187071577,False,True,True,True,1079.7376944814532,1079.7376944814519,"{3: 403, 24: 1232, 165: 80, 258: 15}","{24: 1265, 42: 260, 165: 58, 258: 4}"
sub-via227,CFIN,5068,[5068],[3706.49251088],3706.4925108822963,False,True,True,True,1332.9548182287253,1332.9548182287235,4644,[4644],[3526.22141393],3526.2214139347248,False,True,True,True,1274.65880223646,1274.6588022364626,"{3: 639, 24: 1164, 165: 106, 258: 53}","{24: 1263, 42: 618, 165: 82, 258: 3}"
sub-via276,CFIN,4388,[4388],[3316.49361503],3316.493615034381,False,True,True,True,1172.9362320520122,1172.936232052005,4348,[4348],[3363.08031283],3363.0803128310104,False,True,True,True,1242.4647575035633,1242.4647575035615,"{3: 395, 24: 1154, 165: 171, 258: 7}","{24: 1141, 42: 510, 165: 141, 258: 21}"
sub-via458,CFIN,3770,[3770],[2831.15259733],2831.1525973311404,False,True,True,True,1039.8960096794199,1039.8960096794208,4220,[4220],[3133.59057809],3133.5905780851713,False,True,True,True,1160.5532599886792,1160.5532599886792,"{2: 1, 3: 543, 24: 896, 165: 71}","{24: 1202, 42: 384, 165: 99, 258: 4}"
sub-via310,CFIN,5372,[5372],[4029.58040458],4029.580404583083,True,False,True,True,-1.0,-1.0,5360,[5360],[3910.49702735],3910.497027351894,True,False,True,True,-1.0,-1.0,"{3: 713, 24: 1265, 165: 169, 258: 5}","{24: 1251, 42: 668, 165: 149, 258: 7}"
sub-via515,CFIN,5368,[5368],[4083.21499283],4083.214992827627,False,True,True,True,1489.0278989087037,1489.027898908702,4874,[4874],[3670.87822562],3670.87822561671,False,True,True,True,1346.863238790418,1346.863238790419,"{3: 792, 24: 1266, 165: 120, 258: 2}","{24: 1348, 42: 583, 165: 31, 258: 1}"
sub-via379,CFIN,4660,[4660],[3544.07328497],3544.073284971024,False,True,True,True,1282.2582768380398,1282.2582768380435,4794,[4794],[3615.76280673],3615.762806733345,False,True,True,True,1313.5278202902455,1313.527820290246,"{3: 425, 24: 1381, 165: 63}","{24: 1447, 42: 447, 165: 21}"
sub-via119,CFIN,3952,[3952],[2928.36823581],2928.3682358071374,False,True,True,True,1066.6531184235146,1066.6531184235228,3790,[3790],[2784.07446288],2784.074462875812,False,True,True,True,998.5586808872276,998.558680887229,"{3: 378, 24: 1196, 165: 38, 258: 6}","{24: 1197, 42: 259, 165: 12}"
sub-via439,CFIN,4390,[4390],[3321.87318594],3321.873185939085,False,True,True,True,1191.8609775353925,1191.8609775353907,4354,[4354],[3264.85117515],3264.851175152428,True,False,True,True,-1.0,-1.0,"{3: 739, 24: 1299, 165: 13}","{24: 1178, 42: 563}"
sub-via466,CFIN,6096,[6096],[4353.97782408],4353.977824081762,False,True,True,True,1606.2525038411386,1606.2525038411286,6454,[6454],[4850.79547249],4850.795472487135,False,True,True,True,1711.5501955409027,1711.5501955409009,"{2: 12, 3: 781, 24: 1259, 165: 334, 258: 10}","{24: 1518, 41: 9, 42: 891, 165: 128}"
sub-via333,CFIN,4414,[4414],[3262.44180226],3262.441802263292,False,True,True,True,1206.2711887575788,1206.2711887575724,4192,[4192],[3102.36147589],3102.361475886512,False,True,True,True,1153.707484935157,1153.7074849351575,"{3: 667, 24: 1078, 165: 58, 258: 6}","{24: 913, 42: 759, 165: 42, 258: 1}"
sub-via366,CFIN,5040,[5040],[3750.63649691],3750.6364969127144,False,True,True,True,1368.206136825259,1368.206136825267,4598,[4598],[3498.17296381],3498.172963811874,False,True,True,True,1280.2321243321198,1280.2321243321203,"{3: 303, 24: 1639, 165: 75}","{24: 1649, 42: 198, 165: 28}"
sub-via431,CFIN,4946,[4946],[3557.40248769],3557.4024876906938,False,True,True,True,1315.3522295087214,1315.3522295087205,5480,[5480],[4044.55631854],4044.556318543418,False,True,True,True,1474.3793989944506,1474.3793989944475,"{3: 469, 24: 1395, 165: 87}","{24: 1619, 42: 494, 165: 35}"
sub-via456,CFIN,5214,[5214],[3868.69022701],3868.690227014332,False,True,True,True,1394.4051238192897,1394.4051238192915,5004,[5004],[3748.63173672],3748.631736716868,False,True,True,True,1381.6130545686146,1381.6130545686128,"{3: 847, 24: 1175, 77: 1, 165: 58}","{24: 1231, 42: 719, 165: 76, 258: 5}"
sub-via501,CFIN,4930,[4930],[3717.1669996],3717.1669995983943,False,True,True,True,1375.2707181215728,1375.2707181215756,5062,[5062],[3790.40198562],3790.4019856221453,False,True,True,True,1358.5778493925554,1358.577849392556,"{3: 595, 24: 1312, 165: 100, 258: 4}","{24: 1401, 42: 572, 165: 14}"
sub-via512,CFIN,4298,[4298],[3307.02989604],3307.029896038093,False,True,True,True,1219.9101723113918,1219.9101723113936,4260,[4260],[3256.11858743],3256.1185874297735,False,True,True,True,1230.6142023308603,1230.614202330858,"{3: 617, 24: 1111, 165: 47, 258: 1}","{24: 918, 42: 889, 165: 60, 258: 12}"
sub-via086,CFIN,4680,[4680],[3457.58210094],3457.5821009425713,False,True,True,True,1242.1859706486275,1242.1859706486293,4918,[4918],[3632.42981664],3632.4298166352582,False,True,True,True,1295.239233258505,1295.2392332585086,"{2: 4, 3: 593, 24: 1221, 77: 9, 165: 11}","{24: 1377, 41: 2, 42: 517, 165: 24}"
sub-via229,CFIN,4828,[4828],[3500.89713923],3500.8971392299536,False,True,True,True,1281.5166509278097,1281.5166509278151,4514,[4514],[3292.50714976],3292.5071497588337,False,True,True,True,1225.2136227517772,1225.2136227517813,"{2: 3, 3: 458, 24: 1356, 165: 47}","{24: 1328, 42: 396, 165: 77}"
sub-via283,CFIN,4294,[4294],[3166.91232676],3166.9123267595232,False,True,True,True,1159.8410692870102,1159.8410692870111,4326,[4326],[3265.32720393],3265.327203933542,False,True,True,True,1188.8964631377012,1188.8964631377073,"{2: 2, 3: 792, 24: 813, 165: 96, 258: 3}","{24: 970, 42: 620, 165: 147}"
sub-via313,CFIN,4556,[4556],[3369.17260653],3369.1726065299104,False,True,True,True,1258.5439017478175,1258.543901747821,4508,[4508],[3377.66165461],3377.6616546110017,False,True,True,True,1213.7499419755231,1213.749941975525,"{3: 410, 24: 1394, 165: 42}","{24: 1343, 42: 324, 165: 116, 258: 5}"
sub-via343,CFIN,4542,[4542],[3378.79460809],3378.794608091462,False,True,True,True,1224.3276530982857,1224.32765309829,4324,[4324],[3253.8451069],3253.8451068985955,False,True,True,True,1185.6579495090255,1185.6579495090236,"{3: 926, 24: 840, 165: 32}","{24: 1043, 42: 698, 165: 4}"
sub-via383,CFIN,4854,[4854],[3675.21932558],3675.2193255801835,False,True,True,True,1326.0521160653325,1326.0521160653343,5102,[5102],[3862.83553837],3862.8355383677595,False,True,True,True,1401.1838551894498,1401.1838551894502,"{3: 704, 24: 1104, 165: 95, 258: 34}","{24: 1183, 42: 742, 165: 83, 258: 26}"
sub-via441,CFIN,3650,[3650],[2730.4651711],2730.4651710964763,False,True,True,True,1005.6195482222975,1005.6195482222993,4188,[4188],[3101.15248897],3101.1524889680195,True,False,True,True,-1.0,-1.0,"{2: 1, 3: 657, 24: 836, 165: 14}","{24: 893, 42: 748, 165: 65, 258: 7}"
sub-via473,CFIN,4410,[4410],[3309.92030377],3309.920303767142,False,True,True,True,1177.599529064748,1177.5995290647452,5388,[5388],[3966.57369127],3966.573691269565,True,False,True,True,-1.0,-1.0,"{3: 508, 24: 1177, 165: 75}","{24: 1332, 41: 1, 42: 638, 165: 126, 258: 28}"
sub-via403,CFIN,4562,[4562],[3424.15487632],3424.154876315073,False,True,True,True,1235.793317361129,1235.7933173611245,4072,[4072],[3092.68113896],3092.6811389648365,True,False,True,True,-1.0,-1.0,"{3: 697, 24: 1039, 165: 99, 258: 22}","{24: 1022, 42: 491, 165: 98, 258: 3}"
sub-via424,CFIN,4000,[4000],[2988.17694504],2988.1769450446313,False,True,True,True,1065.4580935874146,1065.4580935874083,4744,[4744],[3490.15401433],3490.154014329424,False,True,True,True,1287.579697602808,1287.5796976028055,"{3: 584, 24: 877, 165: 102, 258: 2}","{24: 1209, 42: 539, 165: 138}"
sub-via163,CFIN,4348,[4348],[3245.05920727],3245.059207270224,False,True,True,True,1180.155069921111,1180.155069921109,4138,[4138],[3089.98989254],3089.9898925422617,False,True,True,True,1174.6675806159656,1174.667580615962,"{3: 722, 24: 1024}","{24: 982, 42: 728}"
sub-via256,CFIN,4690,[4690],[3505.17383785],3505.1738378467244,False,True,True,True,1267.7826857286473,1267.7826857286486,4818,[4818],[3591.09788445],3591.0978844542956,False,True,True,True,1330.748015477089,1330.7480154770876,"{3: 543, 24: 1252, 165: 46}","{24: 1525, 42: 417, 258: 1}"
sub-via299,CFIN,4144,[4144],[3143.23629651],3143.2362965091615,False,True,True,True,1159.6799389970456,1159.6799389970456,4358,[4358],[3296.11008554],3296.1100855366235,False,True,True,True,1230.5373893445703,1230.5373893445708,"{3: 504, 24: 1104, 165: 78}","{24: 1368, 42: 276, 165: 150, 258: 4}"
sub-via330,CFIN,5132,[5132],[3828.90358538],3828.9035853818255,False,True,True,True,1427.5752142782649,1427.5752142782658,4646,[4646],[3507.4619193],3507.4619193036415,False,True,True,True,1273.566942249835,1273.5669422498363,"{2: 1, 3: 737, 24: 1345, 165: 25}","{24: 1208, 41: 1, 42: 579, 165: 73}"
sub-via363,CFIN,4080,[4080],[3125.71814718],3125.7181471759554,False,True,True,True,1171.2174744365184,1171.2174744365193,3948,[3948],[3009.35567922],3009.3556792236936,False,True,True,True,1058.3193230755112,1058.3193230755103,"{3: 656, 24: 989, 165: 59}","{24: 1124, 42: 362, 165: 74}"
sub-via453,CFIN,4300,[4300],[3156.15739084],3156.1573908434993,False,True,True,True,1141.0301844138967,1141.030184413898,4200,[4200],[3158.51391991],3158.5139199087384,False,True,True,True,1153.6686008199194,1153.6686008199163,"{2: 1, 3: 541, 24: 1039, 165: 77, 258: 8}","{24: 1080, 42: 542, 165: 71}"
sub-via493,CFIN,4344,[4344],[3207.81088324],3207.8108832448843,False,True,True,True,1149.8990187914305,1149.8990187914287,4208,[4208],[3214.68551388],3214.6855138816386,False,True,True,True,1183.3917494293692,1183.3917494293673,"{3: 345, 24: 1248, 165: 93}","{24: 1207, 42: 452, 165: 75}"
sub-via213,CFIN,4188,[4188],[3153.07314819],3153.0731481882726,False,True,True,True,1139.7152964519792,1139.715296451981,4200,[4200],[3203.66987873],3203.6698787337364,False,True,True,True,1176.2093649553517,1176.2093649553503,"{2: 1, 3: 644, 24: 1012, 165: 15}","{24: 1176, 42: 482, 165: 67}"
sub-via154,CFIN,4210,[4210],[3144.6655858],3144.6655858024847,False,True,True,True,1171.1826440926952,1171.1826440926907,4580,[4580],[3394.76780905],3394.7678090521817,False,True,True,True,1274.3362906174852,1274.3362906174805,"{3: 484, 24: 1562, 165: 5}","{24: 1311, 41: 1, 42: 527, 165: 19}"
sub-via250,CFIN,4500,[4500],[3363.34268746],3363.3426874551596,False,True,True,True,1216.0821673210176,1216.0821673210185,3598,[3598],[2677.82286424],2677.8228642449617,False,True,True,True,955.885710949457,955.8857109494611,"{3: 247, 24: 1501, 165: 40}","{24: 1225, 42: 197, 165: 2}"
sub-via338,CFIN,4872,[4872],[3594.91045516],3594.9104551641262,False,True,True,True,1292.9312180776178,1292.9312180776142,4420,[4420],[3262.23784352],3262.237843524502,False,True,True,True,1188.4489163682692,1188.4489163682692,"{3: 583, 24: 1120, 165: 207, 258: 13}","{24: 1068, 42: 469, 165: 211, 258: 7}"
sub-via378,CFIN,4278,[4278],[3266.78524032],3266.785240318702,False,True,True,True,1190.9780868547596,1190.9780868547577,4418,[4418],[3309.93229769],3309.9322976941125,False,True,True,True,1207.254113121192,1207.2541131211938,"{3: 564, 24: 1100, 165: 78}","{24: 1177, 42: 521, 165: 69}"
sub-via459,CFIN,4440,[4440],[3344.22570602],3344.225706022678,False,True,True,True,1211.2903054777526,1211.2903054777526,4362,[4362],[3289.01712404],3289.017124036762,False,True,True,True,1200.6508994565788,1200.6508994565784,"{3: 592, 24: 1081, 165: 122}","{24: 1118, 42: 581, 165: 82}"
sub-via517,CFIN,4946,[4946],[3634.08783765],3634.0878376479027,False,True,True,True,1306.6494263284003,1306.6494263284058,5116,[5116],[3801.52884694],3801.528846939392,False,True,True,True,1386.1247488001377,1386.124748800139,"{3: 779, 24: 1157, 165: 2}","{24: 1055, 42: 984, 165: 3}"
sub-via336,CFIN,3922,[3922],[2960.54015558],2960.5401555785584,False,True,True,True,1065.7451754137883,1065.7451754137883,3962,[3962],[3020.48274331],3020.4827433088935,False,True,True,True,1099.9766515385732,1099.976651538574,"{3: 564, 24: 967, 165: 21}","{24: 1038, 42: 546, 165: 33}"
sub-via104,CFIN,4644,[4644],[3465.32480673],3465.3248067331147,False,True,True,True,1255.7236153439862,1255.723615343988,4778,[4778],[3564.74715009],3564.747150090697,False,True,True,True,1294.3235911227493,1294.3235911227503,"{3: 722, 24: 1091, 165: 27}","{24: 1187, 41: 6, 42: 704, 165: 100}"
sub-via126,CFIN,6192,[6192],[4650.7136128],4650.713612799021,False,True,True,True,1726.761588893719,1726.7615888937198,5578,[5578],[4232.95952005],4232.959520048355,False,True,True,True,1584.0966550717435,1584.0966550717408,"{3: 551, 24: 1772, 165: 186, 258: 10}","{24: 1659, 42: 453, 165: 168, 258: 2}"
sub-via287,CFIN,3740,[3740],[2826.72072397],2826.7207239720947,False,True,True,True,1036.6676507585144,1036.6676507585144,3790,[3790],[2839.38019006],2839.380190063346,False,True,True,True,1038.2381539186254,1038.238153918624,"{3: 334, 24: 1150, 165: 33}","{24: 942, 42: 562, 165: 17}"
sub-via231,CFIN,5668,[5668],[4246.31544155],4246.315441549945,False,True,True,True,1568.0567407226308,1568.0567407226308,5160,[5160],[3954.00174848],3954.0017484848286,False,True,True,True,1444.6093813009147,1444.6093813009147,"{3: 657, 24: 1589, 165: 25}","{24: 1584, 42: 462, 165: 71}"
sub-via348,CFIN,5126,[5126],[3838.59152475],3838.5915247541134,False,True,True,True,1433.3010342818538,1433.3010342818484,4600,[4600],[3493.71884009],3493.718840092249,False,True,True,True,1281.428291398347,1281.428291398346,"{3: 605, 24: 1326, 165: 148, 258: 7}","{24: 1310, 42: 438, 165: 118, 258: 2}"
sub-via389,CFIN,5176,[5176],[3743.67436079],3743.6743607941858,False,True,True,True,1372.7784279241223,1372.7784279241187,4454,[4454],[3363.83313796],3363.8331379584733,False,True,True,True,1227.8308786383968,1227.8308786383968,"{3: 582, 24: 1297, 165: 100, 258: 24}","{24: 1350, 42: 360, 165: 73, 258: 2}"
sub-via442,CFIN,4626,[4626],[3462.04549641],3462.0454964130286,False,True,True,True,1239.8340313333645,1239.8340313333622,5140,[5140],[3797.33371458],3797.333714577888,True,False,True,True,-1.0,-1.0,"{3: 712, 24: 965, 165: 148}","{24: 1103, 42: 632, 165: 241, 258: 23}"
sub-via481,CFIN,4076,[4076],[3037.71130531],3037.711305311723,False,True,True,True,1086.5491579020638,1086.5491579020572,3976,[3976],[3004.92266486],3004.9226648638555,False,True,True,True,1076.3277980976604,1076.327798097661,"{3: 389, 24: 1021, 165: 177, 258: 23}","{24: 994, 42: 433, 165: 160, 258: 9}"
sub-via490,CFIN,4894,[4894],[3596.74111802],3596.7411180246913,False,True,True,True,1313.1262937109716,1313.126293710965,4796,[4796],[3618.29742797],3618.297427969374,False,True,True,True,1312.1626061270422,1312.1626061270454,"{0: 10, 3: 406, 24: 1439, 165: 93}","{0: 3, 24: 1401, 42: 437, 165: 78}"
sub-via296,CFIN,4568,[4568],[3365.09893639],3365.098936391047,False,True,True,True,1221.8414403654624,1221.8414403654606,4170,[4170],[3065.98515906],3065.9851590627754,False,True,True,True,1109.6750261105058,1109.6750261105112,"{3: 840, 24: 851, 165: 109, 258: 12}","{24: 732, 42: 708, 165: 210, 258: 11}"
sub-via325,CFIN,4964,[4964],[3709.90809869],3709.9080986911245,False,True,True,True,1378.8737207714685,1378.8737207714657,4592,[4592],[3497.93125816],3497.931258158321,False,True,True,True,1272.5709398593594,1272.5709398593576,"{3: 432, 24: 1479, 165: 106}","{24: 1545, 42: 309, 165: 27}"
sub-via393,CFIN,4656,[4656],[3482.00806523],3482.0080652272322,False,True,True,True,1249.6306384187083,1249.63063841871,4650,[4650],[3552.66934242],3552.6693424228188,False,True,True,True,1317.0690536688446,1317.0690536688471,"{2: 2, 3: 717, 24: 1071, 165: 53}","{24: 891, 42: 946, 165: 71}"
sub-via450,CFIN,5062,[5062],[3782.681394],3782.6813939952935,False,True,True,True,1357.0781573358345,1357.0781573358345,4674,[4674],[3482.85648623],3482.856486226493,False,True,True,True,1264.093472618143,1264.0934726181426,"{2: 2, 3: 1023, 24: 919, 165: 93, 258: 5}","{24: 850, 42: 965, 165: 15}"
sub-via488,CFIN,3686,[3686],[2821.46258835],2821.462588349391,False,True,True,True,996.263204335457,996.2632043354515,3970,[3970],[3014.19919331],3014.1991933141444,True,False,True,True,-1.0,-1.0,"{3: 711, 24: 714, 165: 39}","{24: 881, 42: 659, 165: 61, 258: 1}"
sub-via160,CFIN,4426,[4426],[3284.69629738],3284.696297382412,False,True,True,True,1210.1574752706256,1210.1574752706301,4656,[4656],[3490.90555094],3490.9055509436594,False,True,True,True,1285.209685893038,1285.2096858930408,"{3: 487, 24: 1246, 165: 23}","{24: 1429, 42: 439, 165: 10}"
sub-via317,CFIN,4948,[4948],[3754.5273551],3754.5273551014166,False,True,True,True,1360.2675401274892,1360.2675401274792,4240,[4240],[3242.69697251],3242.6969725061044,True,False,True,True,-1.0,-1.0,"{3: 323, 24: 1571, 165: 90, 258: 2}","{24: 1455, 42: 277, 165: 105, 258: 3}"
sub-via085,CFIN,3688,[3688],[2743.47043798],2743.470437975973,False,True,True,True,1000.2177608504189,1000.2177608504171,3658,[3658],[2760.47495673],2760.474956734553,False,True,True,True,1018.382218637709,1018.3822186377079,"{3: 449, 24: 927, 165: 104, 258: 5}","{24: 1015, 42: 407, 165: 72}"
sub-via254,CFIN,5062,[5062],[3920.58625665],3920.586256654384,False,True,True,True,1412.8438121287882,1412.843812128789,4998,[4998],[3812.53094509],3812.530945093021,False,True,True,True,1353.280622552681,1353.2806225526792,"{3: 640, 24: 1305, 165: 117, 258: 17}","{24: 1568, 42: 374, 165: 101, 258: 1}"
sub-via054,CFIN,4092,[4092],[3082.64100667],3082.6410066679578,False,True,True,True,1112.991184756207,1112.991184756209,4144,[4144],[3113.30096108],3113.3009610798867,False,True,True,True,1141.1333668108969,1141.1333668108982,"{3: 711, 24: 905, 165: 44, 258: 4}","{24: 875, 42: 750, 165: 53, 258: 12}"
sub-via298,CFIN,4958,[4958],[3727.66688256],3727.6668825576885,False,True,True,True,1364.158213681444,1364.158213681445,5746,[5746],[4364.27117243],4364.27117243262,False,True,True,True,1595.5004147685406,1595.5004147685386,"{3: 537, 24: 1402, 165: 41}","{24: 1639, 42: 553, 165: 113}"
sub-via328,CFIN,4540,[4540],[3336.50812023],3336.508120234971,False,True,True,True,1256.2826461667082,1256.28264616671,4506,[4506],[3300.33631182],3300.3363118157245,False,True,True,True,1235.6921327465823,1235.6921327465816,"{3: 550, 24: 1239, 165: 27}","{24: 1305, 42: 397, 165: 83, 258: 1}"
sub-via362,CFIN,3696,[3696],[2766.70758319],2766.707583191863,False,True,True,True,998.1036804289822,998.1036804289815,3868,[3868],[2892.54151195],2892.541511951906,False,True,True,True,1043.9760595861571,1043.9760595861612,"{3: 536, 24: 706, 165: 208, 258: 25}","{24: 893, 42: 567, 165: 100}"
sub-via399,CFIN,5532,[5532],[4187.03200974],4187.032009735124,False,True,True,True,1544.4142626870353,1544.4142626870416,5076,[5076],[3846.56896769],3846.568967688869,False,True,True,True,1392.5082180884617,1392.5082180884629,"{3: 948, 24: 1291, 165: 27}","{24: 1077, 42: 850, 165: 112, 258: 1}"
sub-via423,CFIN,5594,[5594],[4205.54275654],4205.542756536848,False,True,True,True,1522.2152043562555,1522.2152043562546,4994,[4994],[3644.64033794],3644.640337943122,False,True,True,True,1341.5139566878684,1341.513956687866,"{3: 634, 24: 1433, 165: 124, 258: 38}","{24: 1211, 41: 2, 42: 657, 165: 116}"
sub-via209,CFIN,4414,[4414],[3308.77192758],3308.7719275759614,False,True,True,True,1192.69371012387,1192.693710123869,4716,[4716],[3576.80778112],3576.807781118695,False,True,True,True,1294.9623795901425,1294.962379590147,"{3: 688, 24: 1018, 165: 60, 258: 1}","{24: 1252, 42: 559, 165: 72}"
sub-via224,CFIN,4958,[4958],[3666.49363012],3666.493630116991,False,True,True,True,1308.7136858454105,1308.7136858454141,4116,[4116],[3149.09959577],3149.0995957669747,False,True,True,True,1127.1576442472497,1127.1576442472474,"{3: 565, 24: 1144, 165: 181, 258: 9}","{24: 1092, 42: 462, 165: 101}"
sub-via275,CFIN,5052,[5052],[3815.14510368],3815.1451036845106,True,False,True,True,-1.0,-1.0,4986,[4986],[3677.0697899],3677.0697899049137,False,True,True,True,1341.7715449810748,1341.7715449810798,"{3: 879, 24: 1020, 165: 94}","{24: 876, 41: 7, 42: 1019, 165: 68}"
sub-via309,CFIN,4446,[4446],[3284.41347868],3284.4134786772124,False,True,True,True,1210.3573392622257,1210.3573392622347,4374,[4374],[3281.91608929],3281.916089285978,False,True,True,True,1217.7776244173733,1217.7776244173704,"{3: 444, 24: 1253, 165: 104, 258: 5}","{24: 1188, 42: 484, 165: 91, 258: 1}"
